Running task with datatype: prs, p: 8
[0]	eval-rmse:0.38506
[1]	eval-rmse:0.36036
[2]	eval-rmse:0.33924
[3]	eval-rmse:0.32062
[4]	eval-rmse:0.30510
[5]	eval-rmse:0.29162
[6]	eval-rmse:0.27986
[7]	eval-rmse:0.26948
[8]	eval-rmse:0.26087
[9]	eval-rmse:0.25333
[10]	eval-rmse:0.24689
[11]	eval-rmse:0.24127
[12]	eval-rmse:0.23639
[13]	eval-rmse:0.23231
[14]	eval-rmse:0.22826
[15]	eval-rmse:0.22516
[16]	eval-rmse:0.22234
[17]	eval-rmse:0.21969
[18]	eval-rmse:0.21727
[19]	eval-rmse:0.21532
[20]	eval-rmse:0.21351
[21]	eval-rmse:0.21184
[22]	eval-rmse:0.21055
[23]	eval-rmse:0.20932
[24]	eval-rmse:0.20796
[25]	eval-rmse:0.20708
[26]	eval-rmse:0.20589
[27]	eval-rmse:0.20508
[28]	eval-rmse:0.20415
[29]	eval-rmse:0.20340
[30]	eval-rmse:0.20286
[31]	eval-rmse:0.20236
[32]	eval-rmse:0.20173
[33]	eval-rmse:0.20111
[34]	eval-rmse:0.20068
[35]	eval-rmse:0.20018
[36]	eval-rmse:0.19984
[37]	eval-rmse:0.19950
[38]	eval-rmse:0.19903
[39]	eval-rmse:0.19869
[40]	eval-rmse:0.19837
[41]	eval-rmse:0.19807
[42]	eval-rmse:0.19779
[43]	eval-rmse:0.19743
[44]	eval-rmse:0.19709
[45]	eval-rmse:0.19692
[46]	eval-rmse:0.19671
[47]	eval-rmse:0.19633
[48]	eval-rmse:0.19611
[49]	eval-rmse:0.19594
[50]	eval-rmse:0.19568
[51]	eval-rmse:0.19548
[52]	eval-rmse:0.19521
[53]	eval-rmse:0.19496
[54]	eval-rmse:0.19487
[55]	eval-rmse:0.19466
[56]	eval-rmse:0.19435
[57]	eval-rmse:0.19425
[58]	eval-rmse:0.19404
[59]	eval-rmse:0.19388
[60]	eval-rmse:0.19374
[61]	eval-rmse:0.19357
[62]	eval-rmse:0.19339
[63]	eval-rmse:0.19317
[64]	eval-rmse:0.19302
